priority,symbol,identifier,open,dayHigh,dayLow,lastPrice,previousClose,change,pChange,ffmc,yearHigh,yearLow,totalTradedVolume,totalTradedValue,lastUpdateTime,nearWKH,nearWKL,perChange365d,date365dAgo,chart365dPath,date30dAgo,perChange30d,chart30dPath,chartTodayPath,series,meta
0,HCLTECH,HCLTECHEQN,1600.1,1629.75,1598.25,1623.9,1592.65,31.25,1.96,1718621092263.82,1697.35,1139.3,3932148,6348413624.52,14-Aug-2024 15:59:24,4.327333785017811,-42.53488984464146,38.87,14-Aug-2023,https://nsearchives.nseindia.com/365d/HCLTECH-EQ.svg,15-Jul-2024,3.6,https://nsearchives.nseindia.com/30d/HCLTECH-EQ.svg,https://nsearchives.nseindia.com/today/HCLTECHEQN.svg,EQ,"{'symbol': 'HCLTECH', 'companyName': 'HCL Technologies Limited', 'industry': 'Computers - Software & Consulting', 'activeSeries': ['EQ'], 'debtSeries': [], 'isFNOSec': True, 'isCASec': False, 'isSLBSec': True, 'isDebtSec': False, 'isSuspended': False, 'tempSuspendedSeries': [], 'isETFSec': False, 'isDelisted': False, 'isin': 'INE860A01027', 'slb_isin': 'INE860A01027', 'isMunicipalBond': False, 'quotepreopenstatus': {'equityTime': '14-Aug-2024 16:00:00', 'preOpenTime': '14-Aug-2024 09:07:35', 'QuotePreOpenFlag': False}}"
0,TECHM,TECHMEQN,1512.0,1529.45,1505.0,1525.45,1503.4,22.05,1.47,969880556566.74,1569.0,1098.15,2833790,4309316115.1,14-Aug-2024 15:55:46,2.77565328234544,-38.91089559714064,24.98,14-Aug-2023,https://nsearchives.nseindia.com/365d/TECHM-EQ.svg,15-Jul-2024,1.69,https://nsearchives.nseindia.com/30d/TECHM-EQ.svg,https://nsearchives.nseindia.com/today/TECHMEQN.svg,EQ,"{'symbol': 'TECHM', 'companyName': 'Tech Mahindra Limited', 'industry': 'Computers - Software & Consulting', 'activeSeries': ['EQ'], 'debtSeries': [], 'isFNOSec': True, 'isCASec': False, 'isSLBSec': True, 'isDebtSec': False, 'isSuspended': False, 'tempSuspendedSeries': [], 'isETFSec': False, 'isDelisted': False, 'isin': 'INE669C01036', 'slb_isin': 'INE669C01036', 'isMunicipalBond': False, 'quotepreopenstatus': {'equityTime': '14-Aug-2024 16:00:00', 'preOpenTime': '14-Aug-2024 09:07:35', 'QuotePreOpenFlag': False}}"
0,INFY,INFYEQN,1802.0,1825.0,1797.45,1820.0,1797.45,22.55,1.25,6574458814996.8,1903.0,1351.65,7450718,13513441743.78,14-Aug-2024 15:59:58,4.361534419337888,-34.650242296452475,30.83,14-Aug-2023,https://nsearchives.nseindia.com/365d/INFY-EQ.svg,15-Jul-2024,6.81,https://nsearchives.nseindia.com/30d/INFY-EQ.svg,https://nsearchives.nseindia.com/today/INFYEQN.svg,EQ,"{'symbol': 'INFY', 'companyName': 'Infosys Limited', 'industry': 'Computers - Software & Consulting', 'activeSeries': ['EQ'], 'debtSeries': [], 'isFNOSec': True, 'isCASec': False, 'isSLBSec': True, 'isDebtSec': False, 'isSuspended': False, 'tempSuspendedSeries': [], 'isETFSec': False, 'isDelisted': False, 'isin': 'INE009A01021', 'slb_isin': 'INE009A01021', 'isMunicipalBond': False, 'quotepreopenstatus': {'equityTime': '14-Aug-2024 16:00:00', 'preOpenTime': '14-Aug-2024 09:07:35', 'QuotePreOpenFlag': False}}"
0,M&M,M&MEQN,2728.8,2771.95,2715.3,2749.45,2718.05,31.4,1.16,2666835868626.5,3013.5,1450.0,2609359,7179129416.700001,14-Aug-2024 15:59:45,8.762236601957863,-89.61724137931033,77.47,14-Aug-2023,https://nsearchives.nseindia.com/365d/M&M-EQ.svg,15-Jul-2024,0.52,https://nsearchives.nseindia.com/30d/M&M-EQ.svg,https://nsearchives.nseindia.com/today/M&MEQN.svg,EQ,"{'symbol': 'M&M', 'companyName': 'Mahindra & Mahindra Limited', 'industry': 'Passenger Cars & Utility Vehicles', 'activeSeries': ['EQ'], 'debtSeries': [], 'isFNOSec': True, 'isCASec': False, 'isSLBSec': True, 'isDebtSec': False, 'isSuspended': False, 'tempSuspendedSeries': [], 'isETFSec': False, 'isDelisted': False, 'isin': 'INE101A01026', 'slb_isin': 'INE101A01026', 'isMunicipalBond': False, 'quotepreopenstatus': {'equityTime': '14-Aug-2024 16:00:00', 'preOpenTime': '14-Aug-2024 09:07:35', 'QuotePreOpenFlag': False}}"
0,WIPRO,WIPROEQN,493.0,496.85,490.45,495.7,490.5,5.2,1.06,700084769774.51,579.9,375.05,5560878,2742291376.92,14-Aug-2024 15:59:31,14.519744783583374,-32.169044127449666,19.27,14-Aug-2023,https://nsearchives.nseindia.com/365d/WIPRO-EQ.svg,15-Jul-2024,-11.53,https://nsearchives.nseindia.com/30d/WIPRO-EQ.svg,https://nsearchives.nseindia.com/today/WIPROEQN.svg,EQ,"{'symbol': 'WIPRO', 'companyName': 'Wipro Limited', 'industry': 'Computers - Software & Consulting', 'activeSeries': ['EQ'], 'debtSeries': [], 'isFNOSec': True, 'isCASec': False, 'isSLBSec': True, 'isDebtSec': False, 'isSuspended': False, 'tempSuspendedSeries': [], 'isETFSec': False, 'isDelisted': False, 'isin': 'INE075A01022', 'slb_isin': 'INE075A01022', 'isMunicipalBond': False, 'quotepreopenstatus': {'equityTime': '14-Aug-2024 16:00:00', 'preOpenTime': '14-Aug-2024 09:07:35', 'QuotePreOpenFlag': False}}"
0,BPCL,BPCLEQN,321.7,327.45,320.65,325.1,321.7,3.4,1.06,634701660366.96,359.05,165.73,8457477,2747580552.9900002,14-Aug-2024 15:59:56,9.455507589472216,-96.16243287274486,-8.83,14-Aug-2023,https://nsearchives.nseindia.com/365d/BPCL-EQ.svg,15-Jul-2024,5.62,https://nsearchives.nseindia.com/30d/BPCL-EQ.svg,https://nsearchives.nseindia.com/today/BPCLEQN.svg,EQ,"{'symbol': 'BPCL', 'companyName': 'Bharat Petroleum Corporation Limited', 'industry': 'Refineries & Marketing', 'activeSeries': ['T0', 'EQ'], 'debtSeries': [], 'isFNOSec': True, 'isCASec': False, 'isSLBSec': True, 'isDebtSec': False, 'isSuspended': False, 'tempSuspendedSeries': [], 'isETFSec': False, 'isDelisted': False, 'isin': 'INE029A01011', 'slb_isin': 'INE029A01011', 'isMunicipalBond': False, 'quotepreopenstatus': {'equityTime': '14-Aug-2024 16:00:00', 'preOpenTime': '14-Aug-2024 09:07:35', 'QuotePreOpenFlag': False}}"
0,BHARTIARTL,BHARTIARTLEQN,1453.1,1480.1,1453.1,1473.25,1459.7,13.55,0.93,3941980519132.3,1536.25,847.05,5891784,8657033902.56,14-Aug-2024 15:58:01,4.100895036615134,-73.92715896346144,69.74,14-Aug-2023,https://nsearchives.nseindia.com/365d/BHARTIARTL-EQ.svg,15-Jul-2024,2.37,https://nsearchives.nseindia.com/30d/BHARTIARTL-EQ.svg,https://nsearchives.nseindia.com/today/BHARTIARTLEQN.svg,EQ,"{'symbol': 'BHARTIARTL', 'companyName': 'Bharti Airtel Limited', 'industry': 'Telecom - Cellular & Fixed line services', 'activeSeries': ['EQ'], 'debtSeries': [], 'isFNOSec': True, 'isCASec': False, 'isSLBSec': True, 'isDebtSec': False, 'isSuspended': False, 'tempSuspendedSeries': ['IL'], 'isETFSec': False, 'isDelisted': False, 'isin': 'INE397D01024', 'slb_isin': 'INE397D01024', 'isMunicipalBond': False, 'quotepreopenstatus': {'equityTime': '14-Aug-2024 16:00:00', 'preOpenTime': '14-Aug-2024 09:07:35', 'QuotePreOpenFlag': False}}"
0,TATAMOTORS,TATAMOTORSEQN,1057.0,1067.05,1047.0,1062.85,1053.45,9.4,0.89,1872815057736.94,1179.0,593.3,8211830,8698134572.6,14-Aug-2024 15:59:57,9.851569126378294,-79.14208663408056,74.92,14-Aug-2023,https://nsearchives.nseindia.com/365d/TATAMOTORS-EQ.svg,15-Jul-2024,3.7,https://nsearchives.nseindia.com/30d/TATAMOTORS-EQ.svg,https://nsearchives.nseindia.com/today/TATAMOTORSEQN.svg,EQ,"{'symbol': 'TATAMOTORS', 'companyName': 'Tata Motors Limited', 'industry': 'Passenger Cars & Utility Vehicles', 'activeSeries': ['EQ'], 'debtSeries': [], 'isFNOSec': True, 'isCASec': False, 'isSLBSec': True, 'isDebtSec': False, 'isSuspended': False, 'tempSuspendedSeries': [], 'isETFSec': False, 'isDelisted': False, 'isin': 'INE155A01022', 'slb_isin': 'INE155A01022', 'isMunicipalBond': False, 'quotepreopenstatus': {'equityTime': '14-Aug-2024 16:00:00', 'preOpenTime': '14-Aug-2024 09:07:35', 'QuotePreOpenFlag': False}}"
0,LTIM,LTIMEQN,5395.0,5439.95,5367.0,5432.05,5384.9,47.15,0.88,498736414074.41,6442.0,4513.55,241696,1307336080.96,14-Aug-2024 15:56:18,15.677584601055571,-20.349835495341804,4.51,14-Aug-2023,https://nsearchives.nseindia.com/365d/LTIM-EQ.svg,15-Jul-2024,-0.92,https://nsearchives.nseindia.com/30d/LTIM-EQ.svg,https://nsearchives.nseindia.com/today/LTIMEQN.svg,EQ,"{'symbol': 'LTIM', 'companyName': 'LTIMindtree Limited', 'industry': 'Computers - Software & Consulting', 'activeSeries': ['T0', 'EQ'], 'debtSeries': [], 'isFNOSec': True, 'isCASec': False, 'isSLBSec': True, 'isDebtSec': False, 'isSuspended': False, 'tempSuspendedSeries': [], 'isETFSec': False, 'isDelisted': False, 'isin': 'INE214T01019', 'slb_isin': 'INE214T01019', 'isMunicipalBond': False, 'quotepreopenstatus': {'equityTime': '14-Aug-2024 16:00:00', 'preOpenTime': '14-Aug-2024 09:07:35', 'QuotePreOpenFlag': False}}"
0,SBIN,SBINEQN,800.95,809.15,800.4,803.2,797.55,5.65,0.71,3082346944005.18,912.0,543.2,11788665,9477025680.15,14-Aug-2024 15:59:58,11.929824561403505,-47.86450662739322,43.19,14-Aug-2023,https://nsearchives.nseindia.com/365d/SBIN-EQ.svg,15-Jul-2024,-8.89,https://nsearchives.nseindia.com/30d/SBIN-EQ.svg,https://nsearchives.nseindia.com/today/SBINEQN.svg,EQ,"{'symbol': 'SBIN', 'companyName': 'State Bank of India', 'industry': 'Public Sector Bank', 'activeSeries': ['T0', 'EQ'], 'debtSeries': [], 'isFNOSec': True, 'isCASec': False, 'isSLBSec': True, 'isDebtSec': False, 'isSuspended': False, 'tempSuspendedSeries': ['N2', 'N6', 'N5', 'IL', 'N1', 'N3', 'N4'], 'isETFSec': False, 'isDelisted': False, 'isin': 'INE062A08041', 'slb_isin': 'INE062A01020', 'isMunicipalBond': False, 'quotepreopenstatus': {'equityTime': '14-Aug-2024 16:00:00', 'preOpenTime': '14-Aug-2024 09:07:35', 'QuotePreOpenFlag': False}}"
0,BAJAJ-AUTO,BAJAJ-AUTOEQN,9704.0,9785.0,9671.6,9724.0,9671.6,52.4,0.54,1085897578937.6,10038.8,4541.0,282934,2755440468.54,14-Aug-2024 15:53:59,3.1358329680838275,-114.13785509799604,111.18,14-Aug-2023,https://nsearchives.nseindia.com/365d/BAJAJ-AUTO-EQ.svg,15-Jul-2024,0.79,https://nsearchives.nseindia.com/30d/BAJAJ-AUTO-EQ.svg,https://nsearchives.nseindia.com/today/BAJAJ-AUTOEQN.svg,EQ,"{'symbol': 'BAJAJ-AUTO', 'companyName': 'Bajaj Auto Limited', 'industry': '2/3 Wheelers', 'activeSeries': ['T0', 'EQ'], 'debtSeries': [], 'isFNOSec': True, 'isCASec': False, 'isSLBSec': True, 'isDebtSec': False, 'isSuspended': False, 'tempSuspendedSeries': [], 'isETFSec': False, 'isDelisted': False, 'isin': 'INE917I01010', 'slb_isin': 'INE917I01010', 'isMunicipalBond': False, 'quotepreopenstatus': {'equityTime': '14-Aug-2024 16:00:00', 'preOpenTime': '14-Aug-2024 09:07:35', 'QuotePreOpenFlag': False}}"
0,ITC,ITCEQN,491.95,499.0,489.9,492.55,490.0,2.55,0.52,4557622180532.21,510.65,399.35,9253598,4571555019.94,14-Aug-2024 15:59:54,3.5445021051600833,-23.33792412670589,9.57,14-Aug-2023,https://nsearchives.nseindia.com/365d/ITC-EQ.svg,15-Jul-2024,6.21,https://nsearchives.nseindia.com/30d/ITC-EQ.svg,https://nsearchives.nseindia.com/today/ITCEQN.svg,EQ,"{'symbol': 'ITC', 'companyName': 'ITC Limited', 'industry': 'Diversified FMCG', 'activeSeries': ['EQ'], 'debtSeries': [], 'isFNOSec': True, 'isCASec': False, 'isSLBSec': True, 'isDebtSec': False, 'isSuspended': False, 'tempSuspendedSeries': [], 'isETFSec': False, 'isDelisted': False, 'isin': 'INE154A01025', 'slb_isin': 'INE154A01025', 'isMunicipalBond': False, 'quotepreopenstatus': {'equityTime': '14-Aug-2024 16:00:00', 'preOpenTime': '14-Aug-2024 09:07:35', 'QuotePreOpenFlag': False}}"
