symbol,open,high,low,issue_price,ltP,chn,per,qty,trdVal,wkhi,wklo,xDt,cAct,yPC,mPC,prevClose,nearWKH,nearWKL,maturityDate,chartTodayPath,perChange365d,date365dAgo,chart365dPath,date30dAgo,perChange30d,chart30dPath,meta
SGBOCT26,7315,7500,7315,3096,7500,100,1.35,8,58704.96,7850,5760,,,25.041889032826003,-3.225806451612903,7400,4.45859872611465,-30.208333333333332,OCT26,https://nsearchives.nseindia.com/today/SGBOCT26GBN.svg,28.38,11-Aug-2023,https://nsearchives.nseindia.com/365d/SGBOCT26-GB.svg,15-Jul-2024,-3.23,https://nsearchives.nseindia.com/30d/SGBOCT26-GB.svg,"{'symbol': 'SGBOCT26', 'companyName': '2.50%GOLDBONDS2026Sr-II', 'activeSeries': ['GB'], 'debtSeries': [], 'isFNOSec': False, 'isCASec': False, 'isSLBSec': False, 'isDebtSec': False, 'isSuspended': False, 'tempSuspendedSeries': [], 'isETFSec': False, 'isDelisted': False, 'isin': 'IN0020180249', 'isMunicipalBond': False, 'quotepreopenstatus': {'equityTime': '14-Aug-2024 16:00:00', 'preOpenTime': '14-Aug-2024 09:07:35', 'QuotePreOpenFlag': False}}"
SGBNOV26,7500,7500,7500,3133,7500,95,1.28,30,225000,7983,5800,,,27.925223442723606,-6.050357008643367,7405,6.050357008643367,-29.310344827586206,NOV26,https://nsearchives.nseindia.com/today/SGBNOV26GBN.svg,27.77,14-Aug-2023,https://nsearchives.nseindia.com/365d/SGBNOV26-GB.svg,15-Jul-2024,-6.05,https://nsearchives.nseindia.com/30d/SGBNOV26-GB.svg,"{'symbol': 'SGBNOV26', 'companyName': '2.50%GOLDBONDS2026Sr-III', 'activeSeries': ['GB'], 'debtSeries': [], 'isFNOSec': False, 'isCASec': False, 'isSLBSec': False, 'isDebtSec': False, 'isSuspended': False, 'tempSuspendedSeries': [], 'isETFSec': False, 'isDelisted': False, 'isin': 'IN0020180314', 'isMunicipalBond': False, 'quotepreopenstatus': {'equityTime': '14-Aug-2024 16:00:00', 'preOpenTime': '14-Aug-2024 09:07:35', 'QuotePreOpenFlag': False}}"
SGBNOV24,7015,7200,7015,2957,7198,76.87,1.08,116,830527.52,7588.99,5800,,,22.553985558448105,-4.788359788359788,7121.13,5.1520689841467675,-24.103448275862068,NOV24,https://nsearchives.nseindia.com/today/SGBNOV24GBN.svg,22.02,14-Aug-2023,https://nsearchives.nseindia.com/365d/SGBNOV24-GB.svg,15-Jul-2024,-4.79,https://nsearchives.nseindia.com/30d/SGBNOV24-GB.svg,"{'symbol': 'SGBNOV24', 'companyName': 'Sovereign Gold Bonds 2.50% NOV 2024 Tr-VI', 'activeSeries': ['GB'], 'debtSeries': [], 'isFNOSec': False, 'isCASec': False, 'isSLBSec': False, 'isDebtSec': False, 'isSuspended': False, 'tempSuspendedSeries': [], 'isETFSec': False, 'isDelisted': False, 'isin': 'IN0020160076', 'isMunicipalBond': False, 'quotepreopenstatus': {'equityTime': '14-Aug-2024 16:00:00', 'preOpenTime': '14-Aug-2024 09:07:35', 'QuotePreOpenFlag': False}}"
SGBN28VIII,7416.66,7497.5,7416.66,0,7493.47,60.2,0.81,53,395620.62,8000,5801,,,27.604028308505505,-2.6315003008059983,7433.27,6.331624999999996,-29.17548698500259,8VIII,https://nsearchives.nseindia.com/today/SGBN28VIIIGBN.svg,27.4,14-Aug-2023,https://nsearchives.nseindia.com/365d/SGBN28VIII-GB.svg,15-Jul-2024,-2.73,https://nsearchives.nseindia.com/30d/SGBN28VIII-GB.svg,"{'symbol': 'SGBN28VIII', 'companyName': 'SOVEREIGN GOLD BONDS 2.5% NOV 2028 SR-VIII 2020-21', 'activeSeries': ['GB'], 'debtSeries': [], 'isFNOSec': False, 'isCASec': False, 'isSLBSec': False, 'isDebtSec': True, 'isSuspended': False, 'tempSuspendedSeries': [], 'isETFSec': False, 'isDelisted': False, 'isin': 'IN0020200286', 'isMunicipalBond': False, 'quotepreopenstatus': {'equityTime': '14-Aug-2024 16:00:00', 'preOpenTime': '14-Aug-2024 09:07:35', 'QuotePreOpenFlag': False}}"
SGBAUG30,7700,7800.1,7700,0,7773,53.43,0.69,108,836381.16,8199,5750,,,30.65029321939601,-1.1735089570645771,7719.57,5.1957555799487745,-35.18260869565217,AUG30,https://nsearchives.nseindia.com/today/SGBAUG30GBN.svg,30.66,14-Aug-2023,https://nsearchives.nseindia.com/365d/SGBAUG30-GB.svg,15-Jul-2024,-1.17,https://nsearchives.nseindia.com/30d/SGBAUG30-GB.svg,"{'symbol': 'SGBAUG30', 'companyName': 'SOVEREIGN GOLD BONDS 2.50% AUGUST 2030 SR-II 2022-23', 'activeSeries': ['GB'], 'debtSeries': [], 'isFNOSec': False, 'isCASec': False, 'isSLBSec': False, 'isDebtSec': True, 'isSuspended': False, 'tempSuspendedSeries': [], 'isETFSec': False, 'isDelisted': False, 'isin': 'IN0020220078', 'isMunicipalBond': False, 'quotepreopenstatus': {'equityTime': '14-Aug-2024 16:00:00', 'preOpenTime': '14-Aug-2024 09:07:35', 'QuotePreOpenFlag': False}}"
SGBDEC2513,7400,7400,7400,2816,7400,49,0.67,7,51800,8030,5800,,,26.272752558303033,-3.0144167758846656,7351,7.845579078455791,-27.586206896551722,C2513,https://nsearchives.nseindia.com/today/SGBDEC2513GBN.svg,25.44,10-Aug-2023,https://nsearchives.nseindia.com/365d/SGBDEC2513-GB.svg,15-Jul-2024,-3.01,https://nsearchives.nseindia.com/30d/SGBDEC2513-GB.svg,"{'symbol': 'SGBDEC2513', 'companyName': '2.50%GOLDBONDS2025SR-XIII', 'activeSeries': ['GB'], 'debtSeries': [], 'isFNOSec': False, 'isCASec': False, 'isSLBSec': False, 'isDebtSec': False, 'isSuspended': False, 'tempSuspendedSeries': [], 'isETFSec': False, 'isDelisted': False, 'isin': 'IN0020170158', 'isMunicipalBond': False, 'quotepreopenstatus': {'equityTime': '14-Aug-2024 16:00:00', 'preOpenTime': '14-Aug-2024 09:07:35', 'QuotePreOpenFlag': False}}"
SGBJUL28IV,7440,7489,7420,0,7489,48.45,0.65,1217,9053847.16,8000,5780,,,27.76527630157997,-2.8971376114433256,7440.55,6.3875,-29.567474048442907,L28IV,https://nsearchives.nseindia.com/today/SGBJUL28IVGBN.svg,26.43,14-Aug-2023,https://nsearchives.nseindia.com/365d/SGBJUL28IV-GB.svg,15-Jul-2024,-3.49,https://nsearchives.nseindia.com/30d/SGBJUL28IV-GB.svg,"{'symbol': 'SGBJUL28IV', 'companyName': 'SOVEREIGN GOLD BONDS 2.50% JULY 2028 SR-IV 2020-21', 'activeSeries': ['GB'], 'debtSeries': [], 'isFNOSec': False, 'isCASec': False, 'isSLBSec': False, 'isDebtSec': True, 'isSuspended': False, 'tempSuspendedSeries': [], 'isETFSec': False, 'isDelisted': False, 'isin': 'IN0020200146', 'isMunicipalBond': False, 'quotepreopenstatus': {'equityTime': '14-Aug-2024 16:00:00', 'preOpenTime': '14-Aug-2024 09:07:35', 'QuotePreOpenFlag': False}}"
SGBMR29XII,7423,7484,7423,0,7469.99,46.99,0.63,500,3719325,7939,5712,,,27.192065383960493,-3.2444873893851134,7423,5.9076709913087315,-30.777135854341733,29XII,https://nsearchives.nseindia.com/today/SGBMR29XIIGBN.svg,26.7,14-Aug-2023,https://nsearchives.nseindia.com/365d/SGBMR29XII-GB.svg,15-Jul-2024,-3.52,https://nsearchives.nseindia.com/30d/SGBMR29XII-GB.svg,"{'symbol': 'SGBMR29XII', 'companyName': 'SOVEREIGN GOLD BONDS 2.50% MARCH 2029 SR-XII 2020-21', 'activeSeries': ['GB'], 'debtSeries': [], 'isFNOSec': False, 'isCASec': False, 'isSLBSec': False, 'isDebtSec': True, 'isSuspended': False, 'tempSuspendedSeries': [], 'isETFSec': False, 'isDelisted': False, 'isin': 'IN0020200427', 'isMunicipalBond': False, 'quotepreopenstatus': {'equityTime': '14-Aug-2024 16:00:00', 'preOpenTime': '14-Aug-2024 09:07:35', 'QuotePreOpenFlag': False}}"
SGBJUL29IV,7450,7529.99,7425,0,7449,46.97,0.63,31,230914.97,7949.99,5800,,,26.90640716359324,-3.3418369333059967,7402.03,6.3017689330426805,-28.43103448275862,L29IV,https://nsearchives.nseindia.com/today/SGBJUL29IVGBN.svg,27.13,14-Aug-2023,https://nsearchives.nseindia.com/365d/SGBJUL29IV-GB.svg,15-Jul-2024,-3.34,https://nsearchives.nseindia.com/30d/SGBJUL29IV-GB.svg,"{'symbol': 'SGBJUL29IV', 'companyName': 'SOVEREIGN GOLD BONDS 2.50% JULY 2029 SR-IV 2021-22', 'activeSeries': ['GB'], 'debtSeries': [], 'isFNOSec': False, 'isCASec': False, 'isSLBSec': False, 'isDebtSec': True, 'isSuspended': False, 'tempSuspendedSeries': [], 'isETFSec': False, 'isDelisted': False, 'isin': 'IN0020210111', 'isMunicipalBond': False, 'quotepreopenstatus': {'equityTime': '14-Aug-2024 16:00:00', 'preOpenTime': '14-Aug-2024 09:07:35', 'QuotePreOpenFlag': False}}"
SGBJAN29IX,7427,7455,7385,0,7455,29.06,0.39,809,6013515.43,7919.99,5800,,,26.850433894844308,-3.3818303408269066,7425.94,5.871093271582411,-28.53448275862069,N29IX,https://nsearchives.nseindia.com/today/SGBJAN29IXGBN.svg,26.8,14-Aug-2023,https://nsearchives.nseindia.com/365d/SGBJAN29IX-GB.svg,15-Jul-2024,-3.55,https://nsearchives.nseindia.com/30d/SGBJAN29IX-GB.svg,"{'symbol': 'SGBJAN29IX', 'companyName': 'SOVEREIGN GOLD BONDS 2.50% JANUARY 2029 SR-IX 2020-21', 'activeSeries': ['GB'], 'debtSeries': [], 'isFNOSec': False, 'isCASec': False, 'isSLBSec': False, 'isDebtSec': True, 'isSuspended': False, 'tempSuspendedSeries': [], 'isETFSec': False, 'isDelisted': False, 'isin': 'IN0020200377', 'isMunicipalBond': False, 'quotepreopenstatus': {'equityTime': '14-Aug-2024 16:00:00', 'preOpenTime': '14-Aug-2024 09:07:35', 'QuotePreOpenFlag': False}}"
